Date,Opp,home_away,R,RA,W/L
"Wednesday, Aug 20",PHI,Away,2,11,L
"Friday, Aug 22",ATH,Home,3,2,W
"Saturday, Aug 23",ATH,Home,1,2,L
"Sunday, Aug 24",ATH,Home,11,4,W
"Monday, Aug 25",SDP,Home,9,6,W
"Tuesday, Aug 26",SDP,Home,6,7,L
"Wednesday, Aug 27",SDP,Home,4,3,W
"Friday, Aug 29",CLE,Away,4,5,L-wo
"Saturday, Aug 30",CLE,Away,3,4,L
"Sunday, Aug 31",CLE,Away,4,2,W
"Monday, Sep 1",TBR,Away,2,10,L
"Tuesday, Sep 2",TBR,Away,5,6,L
"Wednesday, Sep 3",TBR,Away,4,9,L
"Friday, Sep 5",ATL,Away,1,4,L
"Saturday, Sep 6",ATL,Away,10,2,W
"Sunday, Sep 7",ATL,Away,18,2,W
"Monday, Sep 8",STL,Home,4,2,W
"Tuesday, Sep 9",STL,Home,5,3,W
"Wednesday, Sep 10",STL,Home,4,2,W-wo
"Thursday, Sep 11",LAA,Home,7,6,W-wo
"Friday, Sep 12",LAA,Home,2,1,W
"Saturday, Sep 13",LAA,Home,5,3,W
"Sunday, Sep 14",LAA,Home,11,2,W
"Tuesday, Sep 16",KCR,Away,12,5,W
"Wednesday, Sep 17",KCR,Away,5,7,L
"Thursday, Sep 18",KCR,Away,2,0,W
"Friday, Sep 19",HOU,Away,4,0,W
"Saturday, Sep 20",HOU,Away,6,4,W
"Sunday, Sep 21",HOU,Away,7,3,W
"Tuesday, Sep 23",COL,Home,4,3,W
"Wednesday, Sep 24",COL,Home,9,2,W
"Thursday, Sep 25",COL,Home,6,2,W
"Friday, Sep 26",LAD,Home,2,3,L
"Saturday, Sep 27",LAD,Home,3,5,L
"Sunday, Sep 28",LAD,Home,1,6,L
